Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SREEL,EQ,21-Jul-16,165.1,165.1,165.1,165.1,165.1,165.1,165.1,20,3302,1,20,100
SREEL,EQ,22-Jul-16,165.1,170,170,169,169,169,169.71,17,2885,2,17,100
SREEL,EQ,25-Jul-16,169,163,163,162,162,162.15,162.17,6,973,2,6,100
SREEL,EQ,26-Jul-16,162.15,162,170,156,167,167,163.82,34,5570,14,20,58.82
SREEL,EQ,29-Jul-16,167,161,170,159,160,160,163.44,34,5557,10,28,82.35
SREEL,EQ,1-Aug-16,160,160,168,160,168,168,165.27,11,1818,8,10,90.91
SREEL,EQ,2-Aug-16,168,170,170,168,168,168,169.28,156,26408,3,156,100
SREEL,EQ,3-Aug-16,168,176,176,171,171,172.8,174.98,5223,913905.1,14,5223,100
SREEL,EQ,4-Aug-16,172.8,177,181,177,180,180,180.68,205,37040,8,205,100
SREEL,EQ,5-Aug-16,180,180,181.85,175,181.85,181.85,179.42,18,3229.6,6,16,88.89
SREEL,EQ,9-Aug-16,181.85,182,182,181,181,181,181.44,9,1633,3,9,100
SREEL,EQ,10-Aug-16,181,181,181,172,172,174.1,174.41,23,4011.5,6,23,100
SREEL,EQ,11-Aug-16,174.1,166,179,166,179,178.5,175.24,4,700.95,4,2,50
SREEL,EQ,12-Aug-16,178.5,178.5,181,178,178,178,180.71,71,12830.5,10,67,94.37
SREEL,EQ,16-Aug-16,178,179,179,178.5,178.5,178.5,178.63,43,7681,5,43,100
SREEL,EQ,17-Aug-16,178.5,172,176,170,171,171.7,171.27,57,9762.15,14,53,92.98
SREEL,EQ,18-Aug-16,171.7,179,180,173,173,173,177.95,110,19575,13,108,98.18
SREEL,EQ,19-Aug-16,173,169,181,167,171,171,169.35,45,7620.75,22,28,62.22
SREEL,EQ,22-Aug-16,171,167.4,169.9,166,169.9,169.9,167.13,23,3843.9,6,20,86.96
SREEL,EQ,23-Aug-16,169.9,165.7,165.7,165.7,165.7,165.7,165.7,10,1657,1,10,100
SREEL,EQ,24-Aug-16,165.7,166,166,166,166,166,166,10,1660,1,10,100
SREEL,EQ,25-Aug-16,166,173,174,173,174,174,173.5,2,347,2,2,100
SREEL,EQ,29-Aug-16,174,167,167,167,167,167,167,1,167,1,1,100
SREEL,EQ,30-Aug-16,167,164,174,163,174,168,167.98,8,1343.85,7,5,62.5
SREEL,EQ,31-Aug-16,168,173.5,173.5,173.5,173.5,173.5,173.5,15,2602.5,1,15,100
SREEL,EQ,1-Sep-16,173.5,166,174,165,174,174,166.37,66,10980.5,33,60,90.91
SREEL,EQ,2-Sep-16,174,167,181,162,162,162.2,167.24,643,107538.45,47,618,96.11
SREEL,EQ,6-Sep-16,162.2,166,166,166,166,166,166,7,1162,5,7,100
SREEL,EQ,7-Sep-16,166,166,173,166,173,170.6,170.52,27,4604,6,27,100
SREEL,EQ,8-Sep-16,170.6,171.4,171.4,170,170,170,170.47,3,511.4,2,3,100
SREEL,EQ,9-Sep-16,170,168,174.5,168,174.5,174.5,171.08,300,51325,4,0,0
SREEL,EQ,12-Sep-16,174.5,174,174,174,174,174,174,20,3480,1,20,100
SREEL,EQ,14-Sep-16,174,177,177,177,177,177,177,10,1770,1,10,100
SREEL,EQ,15-Sep-16,177,170,178,170,178,177.6,173.77,307,53347.3,15,307,100
SREEL,EQ,16-Sep-16,177.6,177,188,177,188,180,179.41,6304,1131009,33,6289,99.76
SREEL,EQ,19-Sep-16,180,187.6,187.6,187.6,187.6,187.6,187.6,1,187.6,1,1,100
SREEL,EQ,20-Sep-16,187.6,171,181,169,181,181,172.89,94,16251.35,10,50,53.19
SREEL,EQ,22-Sep-16,181,192,198,177,177,177,189.27,66,12492,14,36,54.55
SREEL,EQ,23-Sep-16,177,177,177,177,177,177,177,19,3363,1,19,100
SREEL,EQ,27-Sep-16,177,174,174,174,174,174,174,3,522,1,3,100
SREEL,EQ,28-Sep-16,174,188,188,178,181.5,181.5,181.83,48,8728,7,47,97.92
SREEL,EQ,29-Sep-16,181.5,189,199,164,164,164,190.63,77,14678.25,15,71,92.21
SREEL,EQ,30-Sep-16,164,174,179.9,174,179.9,179.9,177.3,3,531.9,3,3,100
SREEL,EQ,3-Oct-16,179.9,168,181.4,168,181.4,179.8,170.3,913,155488.05,16,611,66.92
SREEL,EQ,4-Oct-16,179.8,171,187,162.05,174,174,170.59,1456,248379.25,27,1211,83.17
SREEL,EQ,5-Oct-16,174,167,169.6,165,169,169,165.66,806,133523.5,13,705,87.47
SREEL,EQ,6-Oct-16,169,165,170,165,165,165,167.14,175,29250,5,175,100
SREEL,EQ,7-Oct-16,165,165,165,151,151,156.5,158.43,489,77470,16,387,79.14
SREEL,EQ,10-Oct-16,156.5,169.95,169.95,155,157,156.2,160.29,1019,163337.3,49,882,86.56
SREEL,EQ,13-Oct-16,156.2,155,155,133.95,145,140.75,142.47,1579,224956.95,55,967,61.24
SREEL,EQ,14-Oct-16,140.75,137.1,168.9,130,139.95,136.3,143.68,15235,2188970.75,339,11163,73.27
SREEL,EQ,17-Oct-16,136.3,139.9,139.9,123.5,126.85,127,128.21,19095,2448174.9,345,13595,71.2
SREEL,EQ,18-Oct-16,127,126.5,129.85,111.65,120.5,119.25,118.57,22451,2662005.25,351,15764,70.22
SREEL,EQ,19-Oct-16,119.25,122.95,127.9,118.5,127.7,125.95,121.84,4027,490650.45,66,3857,95.78
SREEL,EQ,20-Oct-16,125.95,123.5,131,123.5,126,126.05,128.6,1038,133486.75,29,941,90.66
SREEL,EQ,21-Oct-16,126.05,125,130,123.05,126.9,126.75,125.1,953,119215.9,32,832,87.3
SREEL,EQ,24-Oct-16,126.75,123.6,129.4,123,129.4,125.85,125.29,1317,165007.65,29,885,67.2
SREEL,EQ,25-Oct-16,125.85,126.55,129.5,123,124.5,126.9,125.55,466,58504.9,40,244,52.36
SREEL,EQ,26-Oct-16,126.9,123.6,133.75,123.5,125,125,125.95,258,32494.1,32,168,65.12
SREEL,EQ,27-Oct-16,125,128.9,131.95,125.6,130,130,130.22,650,84640.05,23,520,80
SREEL,EQ,28-Oct-16,130,126.55,132.9,126.5,126.5,126.6,128.73,181,23299.35,18,93,51.38
SREEL,EQ,30-Oct-16,126.6,135,135,134,134,134,134.95,21,2834,3,21,100
SREEL,EQ,1-Nov-16,134,133.8,136,127,133,131.4,132.76,715,94926.2,29,594,83.08
SREEL,EQ,2-Nov-16,131.4,133,133.9,128,131.9,131.9,130.36,461,60095.1,15,349,75.7
SREEL,EQ,3-Nov-16,131.9,129,132.4,127,127,127.7,128.91,319,41123.15,13,289,90.6
SREEL,EQ,4-Nov-16,127.7,127.15,127.15,126.05,126.5,126.5,127.02,780,99076.1,13,760,97.44
SREEL,EQ,7-Nov-16,126.5,126.5,131.8,125,125,125.6,126.43,345,43618.8,7,335,97.1
SREEL,EQ,8-Nov-16,125.6,122.5,129.95,122.5,129.9,129.95,125.88,110,13846.5,4,70,63.64
SREEL,EQ,9-Nov-16,129.95,120,128.75,108,120,120.3,111.83,6493,726143.35,160,4227,65.1
SREEL,EQ,10-Nov-16,120.3,120.5,129.9,118,123.9,123.2,121.97,880,107333.75,23,712,80.91
SREEL,EQ,11-Nov-16,123.2,123.8,124.95,112.25,124.9,118,120.3,646,77714.4,35,366,56.66
SREEL,EQ,15-Nov-16,118,112.1,123.95,112.1,112.5,112.6,116.21,107,12434.85,9,71,66.36
SREEL,EQ,16-Nov-16,112.6,121,121.7,115,121.7,121.7,115.12,203,23369.3,5,201,99.01
SREEL,EQ,17-Nov-16,121.7,123,123,116,116,116,117.31,80,9385,4,80,100
SREEL,EQ,18-Nov-16,116,111,125,111,125,122.8,121.9,987,120316.75,40,953,96.56
SREEL,EQ,21-Nov-16,122.8,117,125,117,124.85,123.9,124.12,14,1737.65,6,11,78.57
SREEL,EQ,22-Nov-16,123.9,120,120,112,112,112.15,115.11,80,9208.75,4,55,68.75
SREEL,EQ,23-Nov-16,112.15,120,133,112.1,115,115,118.74,556,66022.2,22,212,38.13
SREEL,EQ,25-Nov-16,115,123.95,124.5,117.5,122.65,122.65,121.94,182,22192.75,12,133,73.08
SREEL,EQ,28-Nov-16,122.65,120,125,120,123,122.95,123.73,46,5691.4,8,31,67.39
SREEL,EQ,29-Nov-16,122.95,120.25,120.25,117,117,117,117.9,427,50343.65,17,421,98.59
SREEL,EQ,30-Nov-16,117,122,122,122,122,122,122,1,122,1,1,100
SREEL,EQ,1-Dec-16,122,115.5,122.9,115.5,119,119.35,121.94,371,45239.05,19,294,79.25
SREEL,EQ,2-Dec-16,119.35,122.65,122.65,122.65,122.65,122.65,122.65,1,122.65,1,1,100
SREEL,EQ,5-Dec-16,122.65,118,119.95,115.6,117,117,117.03,270,31597.75,6,265,98.15
SREEL,EQ,6-Dec-16,117,120.45,121,116.4,117,118.15,118.47,525,62196.1,12,200,38.1
SREEL,EQ,7-Dec-16,118.15,120.9,122.45,118,119.9,119.9,120.42,115,13848.75,6,80,69.57
SREEL,EQ,9-Dec-16,119.9,120.65,120.7,116.05,120.7,120.7,120.41,341,41060.7,10,321,94.13
SREEL,EQ,12-Dec-16,120.7,117.1,118.85,117,117,117.15,117.14,234,27410.05,8,194,82.91
SREEL,EQ,13-Dec-16,117.15,120.55,120.6,120.55,120.6,120.6,120.58,33,3979.2,6,21,63.64
SREEL,EQ,15-Dec-16,120.6,120.6,120.6,116,120.6,118.3,119.83,150,17975,3,125,83.33
SREEL,EQ,16-Dec-16,118.3,118,132,97.1,125,125,123.12,794,97757.05,60,530,66.75
SREEL,EQ,19-Dec-16,125,125,148,124.25,146,143.65,141.66,6432,911168.55,235,2819,43.83
SREEL,EQ,20-Dec-16,143.65,144.5,146.8,140.5,146.8,146.25,143.41,1770,253830,71,889,50.23
SREEL,EQ,21-Dec-16,146.25,135,143.5,135,143.5,141.3,140.16,570,79889.5,21,446,78.25
SREEL,EQ,23-Dec-16,141.3,136.1,142.4,136.1,136.1,136.1,136.75,106,14495.9,6,106,100
SREEL,EQ,26-Dec-16,136.1,136.1,142,131,136.1,136.1,136.41,219,29874.6,7,219,100
SREEL,EQ,28-Dec-16,136.1,145,163.3,136,163.3,163.3,160.15,4924,788597.1,168,4289,87.1
SREEL,EQ,29-Dec-16,163.3,161.9,180,155.1,156.95,159.3,166.62,9470,1577902.5,283,5202,54.93
SREEL,EQ,30-Dec-16,159.3,159.3,168.95,155.95,156,156,160.22,2104,337093.8,46,1309,62.21
SREEL,EQ,2-Jan-17,156,153,159,153,156.1,156.1,156.44,251,39266,5,251,100
SREEL,EQ,3-Jan-17,156.1,163,163,159.8,161,161,162.18,140,22705.5,4,130,92.86
SREEL,EQ,4-Jan-17,161,178.7,192.5,149,153,155.8,160.73,487,78276.1,46,255,52.36
SREEL,EQ,5-Jan-17,155.8,166.6,166.6,154.25,155.55,155.55,159.98,167,26717.1,6,27,16.17
SREEL,EQ,6-Jan-17,155.55,165,165,151.1,151.1,155.95,156.56,448,70139.15,26,278,62.05
SREEL,EQ,9-Jan-17,155.95,155,156.15,150,151,151,151.83,141,21407.65,11,99,70.21
SREEL,EQ,10-Jan-17,151,159.85,159.85,151,151.1,154.55,157.09,220,34558.75,11,185,84.09
SREEL,EQ,11-Jan-17,154.55,160,160.9,159,159,159.45,160.01,60,9600.45,4,57,95
SREEL,EQ,12-Jan-17,159.45,161,170,160,161.85,160.4,163.15,1509,246192.85,42,961,63.68
SREEL,EQ,13-Jan-17,160.4,161.85,161.85,161.85,161.85,161.85,161.85,100,16185,1,100,100
SREEL,EQ,16-Jan-17,161.85,164,164,154,156,156.8,156.83,12,1881.95,5,6,50
SREEL,EQ,17-Jan-17,156.8,162,163,157,161.95,157.1,160.78,180,28941.2,11,160,88.89
SREEL,EQ,18-Jan-17,157.1,161.9,161.9,154,155,155,158.43,403,63848.75,16,289,71.71
SREEL,EQ,19-Jan-17,155,155,159.45,151.2,155,155.75,156.52,622,97354.2,14,210,33.76
SREEL,EQ,20-Jan-17,155.75,161,164.6,156,159,159,160.87,118,18982.3,10,105,88.98
SREEL,EQ,23-Jan-17,159,167.35,167.35,154.05,155.35,158.2,158.05,424,67013.5,16,223,52.59
SREEL,EQ,24-Jan-17,158.2,150,170,148,152,150.5,154.95,191,29595.3,26,122,63.87
SREEL,EQ,25-Jan-17,150.5,157,159,150,151.1,151.45,153.51,111,17039.35,23,58,52.25
SREEL,EQ,27-Jan-17,151.45,153,154,152.5,152.5,153.9,153.72,27,4150.5,4,27,100
SREEL,EQ,30-Jan-17,153.9,152.5,155,150.15,150.15,150.15,152.62,322,49142.4,6,322,100
SREEL,EQ,31-Jan-17,150.15,147.25,153,147,147,147,149.67,127,19008,8,83,65.35
SREEL,EQ,1-Feb-17,147,147.5,156.5,147.5,156.5,150.65,150.62,273,41118,8,111,40.66
SREEL,EQ,2-Feb-17,150.65,147,163,147,148,148.45,152.53,1344,205005.7,41,1153,85.79
SREEL,EQ,3-Feb-17,148.45,148.55,151.8,148,148,148,148.3,508,75337.65,12,480,94.49
SREEL,EQ,6-Feb-17,148,156,156.4,149,149,149.4,149.42,452,67536.65,9,452,100
SREEL,EQ,7-Feb-17,149.4,146,150,146,150,150,146.34,270,39512.5,3,270,100
SREEL,EQ,8-Feb-17,150,155.9,155.9,148,148,148.3,149.02,381,56775.2,12,351,92.13
SREEL,EQ,9-Feb-17,148.3,147,147,141.15,145,143.2,142.69,724,103304.1,27,454,62.71
SREEL,EQ,10-Feb-17,143.2,147,151,147,148.1,148.5,148.46,140,20785,5,130,92.86
SREEL,EQ,13-Feb-17,148.5,150,153.65,140,140,147.05,148.43,1278,189688.75,50,547,42.8
SREEL,EQ,14-Feb-17,147.05,145,154.1,142.05,152,150.6,149.32,711,106164.15,29,380,53.45
SREEL,EQ,15-Feb-17,150.6,141,149.8,140,146,144.55,142.66,714,101861.75,39,349,48.88
SREEL,EQ,16-Feb-17,144.55,144,155,140,149.05,147.95,147.07,83,12206.45,15,63,75.9
SREEL,EQ,17-Feb-17,147.95,140,149,133.15,147.85,144.65,146.26,42,6142.8,17,20,47.62
SREEL,EQ,20-Feb-17,144.65,154,170,145.1,145.5,145.5,146.27,815,119214,11,715,87.73
SREEL,EQ,21-Feb-17,145.5,140.15,157.95,140.1,145.2,153.15,150.13,1635,245467.8,54,695,42.51
SREEL,EQ,22-Feb-17,153.15,151,152.9,141.35,141.35,144.9,145.2,1005,145921.15,28,729,72.54
SREEL,EQ,23-Feb-17,144.9,147.6,151.65,140.1,140.65,140.65,143.44,323,46329.65,22,277,85.76
SREEL,EQ,27-Feb-17,140.65,153,168,141,141,143.2,151.87,7312,1110487,167,4254,58.18
SREEL,EQ,28-Feb-17,143.2,138.05,164,138.05,139,140.35,146.23,3655,534475.5,98,2750,75.24
SREEL,EQ,1-Mar-17,140.35,145.6,145.6,126.45,138.75,139.7,138.95,6665,926132.8,238,4848,72.74
SREEL,EQ,2-Mar-17,139.7,137,144.95,135,136,135.95,138.57,7698,1066679.3,92,6996,90.88
SREEL,EQ,3-Mar-17,135.95,134,139.95,134,135,135.1,134.67,487,65586.5,29,440,90.35
SREEL,EQ,6-Mar-17,135.1,136,139,133,133,134.6,134.78,513,69140.45,22,473,92.2
SREEL,EQ,7-Mar-17,134.6,133.2,146.9,132.9,136.9,134.65,133.85,22448,3004631.05,283,18392,81.93
SREEL,EQ,8-Mar-17,134.65,132.25,139,122.65,130.95,130.8,128.83,4909,632419.85,131,4181,85.17
SREEL,EQ,9-Mar-17,130.8,133,133,127.95,128,128.05,130.21,6558,853913,77,6229,94.98
SREEL,EQ,10-Mar-17,128.05,135.7,135.8,122,125,125.1,127.84,7581,969178.65,121,6176,81.47
SREEL,EQ,14-Mar-17,125.1,127,132,126,126,126.05,128.05,9168,1173936.9,114,8479,92.48
SREEL,EQ,15-Mar-17,126.05,130.8,133.95,124.05,127,128.65,128.62,14253,1833181.7,141,10439,73.24
SREEL,EQ,16-Mar-17,128.65,132.7,132.7,125.5,127.9,126.85,127.83,19480,2490093.3,134,18241,93.64
SREEL,EQ,17-Mar-17,126.85,127.9,127.9,124.5,127.8,127.2,127.19,19943,2536491.3,100,18525,92.89
SREEL,EQ,20-Mar-17,127.2,132.9,132.9,124.1,129.7,129.4,128.42,33650,4321425.45,193,33109,98.39
SREEL,EQ,21-Mar-17,129.4,129.7,134.1,126.6,128,128.35,129.08,28368,3661781.65,178,25849,91.12
SREEL,EQ,22-Mar-17,128.35,129.5,129.5,123.05,127,127,126.57,6210,786011.1,89,5424,87.34
SREEL,EQ,23-Mar-17,127,132.95,133.9,126.55,128.7,128.95,128.52,18007,2314268.4,147,16738,92.95
SREEL,EQ,24-Mar-17,128.95,128.7,132,127.1,131.5,131.1,129.63,74910,9710704.95,343,57582,76.87
SREEL,EQ,27-Mar-17,131.1,139,139,129.65,130.5,131,130.99,48988,6416711.8,178,48564,99.13
SREEL,EQ,28-Mar-17,131,129,134.45,129,130,131.5,130.48,14248,1859019.65,182,12593,88.38
SREEL,EQ,29-Mar-17,131.5,130.1,132.9,121.2,123,122.6,122.87,100636,12364831.2,590,86252,85.71
SREEL,EQ,30-Mar-17,122.6,127.95,130,121.5,126,123.55,124.81,110007,13730111.3,506,97713,88.82
SREEL,EQ,31-Mar-17,123.55,126.4,126.95,121,122.1,121.55,121.26,18031,2186505.2,178,16026,88.88
SREEL,EQ,3-Apr-17,121.55,125.55,128,121.6,125.6,126.75,124.76,3495,436018.9,100,2657,76.02
SREEL,EQ,5-Apr-17,126.75,124.5,128.9,124.5,126,125.9,126.41,1546,195435.1,35,1279,82.73
SREEL,EQ,6-Apr-17,125.9,126.1,128,124.1,124.1,125.4,126.35,1089,137599.5,44,902,82.83
SREEL,EQ,7-Apr-17,125.4,123.25,127.05,123.25,125.5,125.35,124.54,3334,415228.9,51,2830,84.88
SREEL,EQ,10-Apr-17,125.35,125,130,125,126.4,128.25,127.71,4256,543548.5,71,2529,59.42
SREEL,EQ,11-Apr-17,128.25,133,133.95,125,126,125.15,126.55,1565,198051.5,44,1296,82.81
SREEL,EQ,12-Apr-17,125.15,129.4,129.4,123.6,125,124.7,124.99,1482,185236,47,1221,82.39
SREEL,EQ,13-Apr-17,124.7,126.9,127.4,123.5,123.5,124.1,124.41,870,108240.1,31,426,48.97
SREEL,EQ,17-Apr-17,124.1,123.25,124.7,118.15,120,120.9,121.13,2545,308270.75,92,2267,89.08
SREEL,EQ,18-Apr-17,120.9,124.3,124.3,116.3,118,118.4,121.14,3643,441320.1,78,3134,86.03
SREEL,EQ,19-Apr-17,118.4,119.1,126,119.1,122,122.1,123.32,2785,343453.65,43,2201,79.03
SREEL,EQ,20-Apr-17,122.1,124,125.6,122.25,124,124,124.12,1113,138149.85,19,917,82.39
SREEL,EQ,21-Apr-17,124,124.95,128.9,124.5,125,125,126.48,4758,601771.05,122,3861,81.15
SREEL,EQ,24-Apr-17,125,128.95,129,123.1,126,125.25,125.7,2626,330096.55,79,1693,64.47
SREEL,EQ,25-Apr-17,125.25,125,126.8,122.25,122.25,122.85,123.99,1957,242644.4,50,1130,57.74
SREEL,EQ,26-Apr-17,122.85,124.4,129,122.25,122.25,122.6,125.69,7167,900788.35,176,5542,77.33
SREEL,EQ,27-Apr-17,122.6,127.95,127.95,123.5,126,126.2,125.66,1545,194147.85,36,1001,64.79
SREEL,EQ,28-Apr-17,126.2,124.05,126,124.05,126,125.4,125.1,66,8256.35,10,33,50
SREEL,EQ,2-May-17,125.4,125,129,123.45,125.1,125.1,126.4,2727,344703.85,30,2489,91.27
SREEL,EQ,3-May-17,125.1,124.15,127.4,122,122,122.2,124.53,843,104982.1,21,497,58.96
SREEL,EQ,4-May-17,122.2,123.1,125.9,121,122.55,125.15,122.76,4322,530552.35,71,3129,72.4
SREEL,EQ,5-May-17,125.15,125.3,126.4,122.55,124.85,124.65,123.16,4245,522793.6,39,3475,81.86
SREEL,EQ,8-May-17,124.65,125.9,131.35,121.6,131.05,130.1,129.08,9006,1162538.25,119,7354,81.66
SREEL,EQ,9-May-17,130.1,131.05,133.75,127.7,129.05,129.8,129.79,2852,370156.35,42,2269,79.56
